% Model:              Cylindrical_4inch.mph
% Version:            COMSOL 5.2.0.166
% Date:               Aug 12 2020, 01:56
% Dimension:          1
% Nodes:              436
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         643.133609359125
0.7118653835460697        634.0026121722439
1.42373076709214          624.8716150955483
2.1355961506382095        615.7406181339486
2.84746153418428          606.6096212926349
3.55932691773035          597.4786245771239
4.271192301276419         588.347627993274
4.983057684822489         579.3731877657964
5.695730489967357         570.1558617578133
6.408403295112229         561.1869890522435
7.121076100257098         552.2181241712822
7.833748905401967         543.2492675024727
8.546421710546834         534.2804194593867
9.259094515691705         525.3115804838312
9.971767320836573         516.8135842083975
10.685211004682914        507.7308484258875
11.398654688529257        499.18845554247997
12.112098372375593        490.64608809039913
12.825542056221936        482.1037474214886
13.538985740068277        473.56143498514024
14.25242942391462         465.0191523372298
14.96587310776096         456.42680018936636
15.679969250238345        448.50453407492927
16.39406539271572         440.582312885988
17.108161535193087        432.66013909037065
17.822257677670468        424.7380153400015
18.536353820147852        416.8159444884051
19.25044996262523         408.8939296102232
19.964546105102606        401.8526187169286
20.678909128081973        393.7664519483128
21.39327215106133         386.58624862550374
22.107635174040684        379.40611170608196
22.82199819702004         372.2260450327544
23.536361219999396        365.0460527505202
24.250724242978762        357.86613933697845
24.965087265958118        350.6863096363824
25.67945028893748         344.2931797130638
26.393813311916837        337.90346076907
27.108176334896193        331.51382048724207
27.822539357875552        325.12426350540755
28.53690238085491         318.73479483321603
29.251265403834275        312.34541989016327
29.96562842681363         306.89773457044214
30.67999144980527         300.3590590991709
31.394354472796905        294.7501221902024
32.10871749578854         289.1412682288654
32.823080518780166        283.53250213778193
33.5374435417718          277.9238292368672
34.25180656476344         272.3152552842261
34.966169587755076        267.59600189207225
35.68053261074669         261.85230154057604
36.39489563373834         256.97690252713284
37.10925865672997         252.1015841198532
37.8236216797216          247.22635108740917
38.53798470271323         242.3512085821048
39.25234772570487         237.47616217922754
39.966710748696514        232.62652722094953
40.68107377167585         228.41645036491911
41.395436794655225        224.20644337566398
42.10979981763457         219.99651026424368
42.8241628406139          215.7866553546599
43.53852586359326         211.5768833149824
44.25288888657263         207.36719919224942
44.96725190955198         203.8757134359918
45.68161493253134         199.56258133843406
46.395977955510695        195.94137485350248
47.11034097849004         192.32023328147068
47.82470400146942         188.69916035937916
48.53906702444877         185.0781601166578
49.25343004742812         181.4572369042816
49.96779307040746         177.83639542749043
50.6821560933991          174.75237280061347
51.39651911639076         171.64328774087696
52.110882139382376        168.53425802746276
52.82524516237402         165.42528678093518
53.53960818536565         162.31637736087734
54.25397120835727         159.20753338922069
54.96833423134892         156.63694921114725
55.68269725434054         153.4528219152591
56.39706027733217         150.78401405553083
57.11142330032382         148.11525240168126
57.825786323315455        145.44653949717187
58.54014934630709         142.77787807557678
59.25451236929871         140.1092710786798
59.96887539229034         137.90019300022647
60.683238415269706        135.16782914211038
61.39760143824907         132.87470862218407
62.11196446122842         130.5816261247845
62.826327484207745        128.2885836888015
63.540690507187136        125.99558350151435
64.25505353016646         123.70262791233898
64.96941655314582         121.42726473150096
65.68377957612518         119.45327041345527
66.39814259910453         117.47930557701726
67.11250562208386         115.505371733696
67.82686864506323         113.53147050008972
68.54123166804257         111.55760360718844
69.25559469102194         109.58377291067026
69.96995771400128         107.94096838978979
70.6843207369929          105.92151394061386
71.39868375998456         104.21809069106283
72.11304678297621         102.51469255952912
72.82740980596785         100.81132081926123
73.54177282895948         99.10797683102216
74.25613585195114         97.40466205073642
74.97049887494276         95.7013780379508
75.68486189793438         94.23982791211684
76.39922492092606         92.76561987619273
77.11358794391764         91.29143213593314
77.82795096690931         89.81726569068582
78.54231398990096         88.3431216064901
79.25667701289258         86.86900102172964
79.97104003588423         85.63260937192261
80.6854030588636          84.125688782259
81.39976608184296         82.84581771566333
82.11412910482225         81.56596303279032
82.82849212780161         80.28612551716667
83.54285515078098         79.00630600307856
84.25721817376031         77.7265053797469
84.97158119673966         76.6485279166994
85.685944219719           75.34082020186008
86.40030724269835         74.22597332213684
87.11467026567766         73.11113967585067
87.829033288657           71.99631987774367
88.54339631163643         70.88151458122556
89.25775933461568         69.76672448146105
89.97212235759507         68.65945774739353
90.68648538058669         67.68503951940689
91.4008484035784          66.7106315425415
92.11521142657            65.73623427265306
92.82957444956165         64.76184819302853
93.54393747255332         63.78747381647848
94.25830049554494         62.81311168762797
94.97266351853659         61.985209320409915
95.68702654152824         60.99046956730138
96.40138956451989         60.13589001584426
97.11575258751151         59.28131914890959
97.83011561050316         58.42675734756664
98.54447863349483         57.57220501550474
99.25884165648652         56.7176625807403
99.97320467947814         55.86313049747072
100.68756770245749        55.11636747672806
101.40193072543683        54.364326712029225
102.1162937484162         53.61229301310977
102.8306567713955         52.86026668154189
103.54501979437484        52.1082480363019
104.25938281735418        51.35623741504456
104.97374584033354        50.71172536611965
105.68810886331283        49.94464673891252
106.40247188629223        49.280619552079294
107.11683490927159        48.61659813402207
107.83119793225089        47.95258272438889
108.54556095523026        47.28857357628718
109.25992397820959        46.62457095723982
109.97428700118894        46.053098150351566
110.6886500241806         45.37607539263372
111.40301304717224        44.78783392374985
112.11737607016387        44.199597182387635
112.83173909315552        43.61136535984456
113.54610211614717        43.0231386578773
114.26046513913877        42.43491728942823
114.97482816213044        41.84986766153657
115.68919118512208        41.32708890506486
116.40355420811376        40.80431389224613
117.1179172311054         40.28154276883605
117.83228025409699        39.7587756882547
118.54664327708869        39.23601281209807
119.26100630008028        38.713254310688725
119.97536932307194        38.25971376720723
